Rk,Tm,W,L,Ties,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,St. Louis Stars,69,25,1,.734,7.8,5.0,2.9,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
2,Philadelphia Athletics,102,52,0,.662,6.2,4.9,1.3,-0.2,1.1,93-61,9,58-18,44-34,6-1,25-14,86-44,16-8,37-29,65-23
3,St. Louis Cardinals,92,62,0,.597,6.5,5.1,1.4,-0.2,1.3,94-60,-2,53-24,39-38,4-7,23-31,64-41,28-21,43-45,49-17
4,Kansas City Monarchs,40,23,0,.635,5.8,4.8,1.0,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
5,Washington Nationals,94,60,0,.610,5.8,4.5,1.3,-0.2,1.2,95-59,-1,56-21,38-39,6-5,23-21,61-37,33-23,41-25,53-35
6,Chicago Cubs,90,64,2,.584,6.4,5.6,0.8,-0.1,0.7,87-67,3,51-26,39-38,10-2,27-20,71-48,19-16,46-42,44-22
7,Detroit Stars,52,37,0,.584,5.2,4.7,0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
8,New York Giants,87,67,0,.565,6.2,5.3,0.9,-0.1,0.8,88-66,-1,46-31,41-36,7-6,20-23,65-50,22-17,45-43,42-24
9,New York Yankees,86,68,0,.558,6.9,5.8,1.1,-0.1,0.9,89-65,-3,47-29,39-39,6-5,17-24,62-50,24-18,27-39,59-29
10,Brooklyn Robins,86,68,0,.558,5.7,4.8,0.9,-0.1,0.8,89-65,-3,49-28,37-40,6-8,18-23,48-43,38-25,45-43,41-25
11,Cleveland Indians,81,73,0,.526,5.8,5.9,-0.2,0.0,-0.1,75-79,6,44-33,37-40,4-7,21-18,63-50,18-23,27-39,54-34
12,Chicago American Giants,53,49,0,.520,4.3,5.7,-1.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
13,Pittsburgh Pirates,80,74,0,.519,5.8,6.0,-0.2,0.0,-0.2,74-80,6,42-35,38-39,6-6,24-15,52-43,28-31,41-47,39-27
14,Birmingham Black Barons,46,48,2,.489,4.8,5.2,-0.4,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
15,Detroit Tigers,75,79,0,.487,5.1,5.4,-0.3,0.0,-0.3,73-81,2,45-33,30-46,7-4,26-20,62-60,13-19,37-51,38-28
16,Boston Braves,70,84,0,.455,4.5,5.4,-0.9,0.1,-0.8,64-90,6,39-38,31-46,9-4,34-22,44-58,26-26,43-67,27-17
17,St. Louis Browns,64,90,0,.416,4.9,5.8,-0.9,0.1,-0.8,65-89,-1,38-40,26-50,8-11,24-23,51-72,13-18,30-58,34-32
18,Louisville Black Caps,16,28,0,.364,3.7,6.0,-2.2,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
19,Chicago White Sox,62,92,0,.403,4.7,5.7,-1.0,0.1,-0.9,64-90,-2,34-44,28-48,10-5,23-20,49-70,13-22,32-56,30-36
20,Cincinnati Reds,59,95,0,.383,4.3,5.6,-1.2,0.2,-1.1,59-95,0,37-40,22-55,1-6,26-28,51-68,8-27,38-72,21-23
21,Cuban Stars West,25,41,0,.379,4.4,4.7,-0.3,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
22,Memphis Red Sox,30,51,0,.370,4.8,6.2,-1.5,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
23,Philadelphia Phillies,52,102,2,.338,6.1,7.7,-1.6,0.2,-1.4,60-94,-8,35-42,17-60,3-7,18-28,28-74,24-28,34-76,18-26
24,Boston Red Sox,52,102,0,.338,4.0,5.3,-1.3,0.2,-1.1,57-97,-5,30-46,22-56,4-13,17-36,42-76,10-26,22-66,30-36
25,Nashville Elite Giants,26,55,1,.321,4.0,6.8,-2.8,,,,,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0
,Average,63,63,0,.500,5.3,5.5,,,,62-64,,28-21,21-28,3-3,14-14,35-35,13-13,23-31,25-17
